uniqID,GeneID,locus_tag,UniProtID,type,localz,gene,product,KG_FG,KG_FM,KG_PC,KG_PG,KG_PW,UP_FM,UP_PW,UP_KW
g1615,886359,Rv1560,P9WLU3,CDS,Cytoplasmic,vapB11,Antitoxin VapB11,signaling and cellular processes,Prokaryotic defense system,,,,,,3D-structure;Reference proteome;Toxin-antitoxin system
g1616,886361,Rv1561,P9WFA5,CDS,Cytoplasmic,vapC11,Ribonuclease VapC11,signaling and cellular processes,Prokaryotic defense system,,,,PINc/VapC protein family,,3D-structure;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome;Toxin-antitoxin system
g1617,886355,Rv1562c,P9WQ23,CDS,Cytoplasmic,treZ,Malto-oligosyltrehalose trehalohydrolase,,,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism,glycosyl hydrolase 13 family,Glycan biosynthesis; trehalose biosynthesis,Carbohydrate metabolism;Cytoplasm;Glycosidase;Hydrolase;Reference proteome
g1618,886357,Rv1563c,P9WQ21,CDS,Cytoplasmic,treY,Putative maltooligosyl trehalose synthase,,,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism,glycosyl hydrolase 13 family,,Isomerase;Reference proteome
g1619,886353,Rv1564c,P9WQ25,CDS,Cytoplasmic,glgX,Glycogen operon protein GlgX homolog,,,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism,glycosyl hydrolase 13 family,,Glycosidase;Hydrolase;Reference proteome
g1620,886351,Rv1565c,O06625,CDS,Plasma Membrane,,acyltransferase,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1621,886347,Rv1566c,O06624,CDS,Extracellular,ripD,Peptidoglycan-binding protein RipD,,,,,,peptidase C40 family,,3D-structure;Reference proteome;Repeat;Signal
g1622,886349,Rv1567c,O06623,CDS,Plasma Membrane,,membrane protein,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1623,886343,Rv1568,P9WQ81,CDS,Cytoplasmic,bioA,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,metabolism,Amino acid related enzymes,Metabolism,Metabolism of cofactors and vitamins,Biotin metabolism,class-III pyridoxal-phosphate-dependent aminotransferase family. BioA subfamily,"Cofactor biosynthesis; biotin biosynthesis; 7,8-diaminononanoate from 8-amino-7-oxononanoate (SAM route)",3D-structure;Aminotransferase;Biotin biosynthesis;Cytoplasm;Pyridoxal phosphate;Reference proteome;S-adenosyl-L-methionine;Transferase
g1624,886345,Rv1569,P9WQ87,CDS,Cytoplasmic,bioF1,8-amino-7-oxononanoate synthase 1,metabolism,Amino acid related enzymes,Metabolism,Metabolism of cofactors and vitamins,Biotin metabolism,class-II pyridoxal-phosphate-dependent aminotransferase family. BioF subfamily,Cofactor biosynthesis; biotin biosynthesis,Acyltransferase;Biotin biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase
g1625,886338,Rv1570,P9WPQ5,CDS,Cytoplasmic,bioD,Dethiobiotin synthetase BioD,,,Metabolism,Metabolism of cofactors and vitamins,Biotin metabolism,dethiobiotin synthetase family,"Cofactor biosynthesis; biotin biosynthesis; biotin from 7,8-diaminononanoate",3D-structure;ATP-binding;Biotin biosynthesis;Cytoplasm;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome
g1626,886341,Rv1571,O06619,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g1627,,Rv1572c,O06618,CDS,Extracellular,,Conserved hypothetical protein,,,,,,,,Reference proteome
g1628,886337,Rv1573,O06617,CDS,Cytoplasmic,,phage protein,,,,,,,,Reference proteome
g1629,886331,Rv1574,L0TA08,CDS,Extracellular,,phage protein,,,,,,,,Reference proteome
g1630,886335,Rv1575,L0T9U5,CDS,Extracellular,,phage protein,,,,,,,,Reference proteome
g1631,886327,Rv1576c,O06614,CDS,Extracellular,,phage capsid protein,,,,,,,,Reference proteome
g1632,886329,Rv1577c,O06613,CDS,Cytoplasmic,,phage prohead protease,metabolism,Peptidases and inhibitors,,,,,,Hydrolase;Protease;Reference proteome;Viral release from host cell
g1633,886322,Rv1578c,O06612,CDS,Cytoplasmic,,phage protein,,,,,,,,Reference proteome
g1634,886369,Rv1579c,O06611,CDS,Cytoplasmic,,phage protein,,,,,,,,3D-structure;Reference proteome
g1635,886313,Rv1580c,O06610,CDS,Cytoplasmic,,phage protein,,,,,,,,Reference proteome
g1636,886318,Rv1581c,O06609,CDS,Cytoplasmic,,phage protein,,,,,,,,Reference proteome
g1637,886311,Rv1582c,O06608,CDS,Cytoplasmic,,phage protein,,,,,,,,ATP-binding;Hydrolase;Nucleotide-binding;Reference proteome
g1638,886315,Rv1583c,P9WLU1,CDS,Extracellular,,Uncharacterized protein Rv1583c,,,,,,To M.tuberculosis Rv2656c,,Reference proteome
g1639,886307,Rv1584c,O06606,CDS,Cytoplasmic,,phage protein,,,,,,,,Reference proteome
g1640,886309,Rv1585c,O06605,CDS,Cytoplasmic,,phage protein,,,,,,,,Reference proteome
g1641,886305,Rv1586c,O06604,CDS,Cytoplasmic,,phage integrase,,,,,,,,Reference proteome
g1642,886303,Rv1587c,O06603,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g1643,886325,Rv1588c,P9WLT9,CDS,Cytoplasmic,,Uncharacterized protein Rv1588c,,,,,,Rv1128c/1148c/1588c/1702c/1945/3466 family,,Reference proteome
g1644,886301,Rv1589,P9WPQ7,CDS,Cytoplasmic,bioB,Biotin synthase,,,Metabolism,Metabolism of cofactors and vitamins,Biotin metabolism,radical SAM superfamily. Biotin synthase family,"Cofactor biosynthesis; biotin biosynthesis; biotin from 7,8-diaminononanoate",2Fe-2S;4Fe-4S;Acetylation;Biotin biosynthesis;Iron;Iron-sulfur;Metal-binding;Reference proteome;S-adenosyl-L-methionine;Transferase
g1645,886292,Rv1590,P9WLT7,CDS,Cytoplasmic,bsaP,Biotin synthase auxiliary protein,,,,,,BsaP family,,Biotin biosynthesis;Iron;Iron-sulfur;Metal-binding;Reference proteome
g1646,886295,Rv1591,P9WLT5,CDS,Plasma Membrane,,Uncharacterized protein Rv1591,,,,,,To M.leprae ML1222,,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1647,886287,Rv1592c,P9WK89,CDS,Extracellular,,Probable inactive lipase Rv1592c,,,,,,AB hydrolase superfamily. Lipase family,,Reference proteome
g1648,886289,Rv1593c,O06597,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g1649,886283,Rv1594,P9WJK1,CDS,Cytoplasmic,nadA,Quinolinate synthase,,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism,quinolinate synthase family. Type 2 subfamily,Cofactor biosynthesis; NAD(+) biosynthesis; quinolinate from iminoaspartate,4Fe-4S;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Pyridine nucleotide biosynthesis;Reference proteome;Transferase
g1650,886285,Rv1595,P9WJJ9,CDS,Cytoplasmic,nadB,L-aspartate oxidase,,,Metabolism,Amino acid metabolism; Metabolism of cofactors and vitamins,"Alanine, aspartate and glutamate metabolism; Nicotinate and nicotinamide metabolism",FAD-dependent oxidoreductase 2 family. NadB subfamily,Cofactor biosynthesis; NAD(+) biosynthesis; iminoaspartate from L-aspartate (oxidase route),Cytoplasm;FAD;Flavoprotein;Nucleotide-binding;Oxidoreductase;Pyridine nucleotide biosynthesis;Reference proteome
g1651,886281,Rv1596,P9WJJ7,CDS,Cytoplasmic,nadC,Nicotinate-nucleotide pyrophosphorylase [carboxylating],,,Metabolism,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism,NadC/ModD family,Cofactor biosynthesis; NAD(+) biosynthesis; nicotinate D-ribonucleotide from quinolinate,3D-structure;Glycosyltransferase;Pyridine nucleotide biosynthesis;Reference proteome;Transferase
g1652,886297,Rv1597,O06593,CDS,Cytoplasmic,,Methyltransferase type 11 domain-containing protein,,,,,,,,Reference proteome
g1653,886324,Rv1598c,O06592,CDS,Plasma Membrane,,hypothetical protein,,,,,,,,Reference proteome
g1654,886277,Rv1599,P9WNW9,CDS,Cytoplasmic,hisD,Histidinol dehydrogenase,,,Metabolism,Amino acid metabolism,Histidine metabolism,histidinol dehydrogenase family,Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate,Amino-acid biosynthesis;Direct protein sequencing;Histidine biosynthesis;Metal-binding;NAD;Oxidoreductase;Reference proteome;Zinc
g1655,886298,Rv1600,P9WML7,CDS,Cytoplasmic,hisC,Histidinol-phosphate aminotransferase,metabolism,Amino acid related enzymes,Metabolism,Amino acid metabolism; Biosynthesis of other secondary metabolites,"Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Novobiocin biosynthesis",class-II pyridoxal-phosphate-dependent aminotransferase family. Histidinol-phosphate aminotransferase subfamily,Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate,3D-structure;Amino-acid biosynthesis;Aminotransferase;Histidine biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase
g1656,886274,Rv1601,P9WML9,CDS,Cytoplasmic,hisB,Imidazoleglycerol-phosphate dehydratase,,,Metabolism,Amino acid metabolism,Histidine metabolism,imidazoleglycerol-phosphate dehydratase family,Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate,3D-structure;Amino-acid biosynthesis;Cytoplasm;Histidine biosynthesis;Lyase;Manganese;Metal-binding;Reference proteome
g1657,885529,Rv1602,P9WMM1,CDS,Cytoplasmic,hisH,Imidazole glycerol phosphate synthase subunit HisH,,,Metabolism,Amino acid metabolism,Histidine metabolism,,Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate,Amino-acid biosynthesis;Cytoplasm;Glutamine amidotransferase;Histidine biosynthesis;Hydrolase;Lyase;Reference proteome
g1658,885873,Rv1603,P9WMM5,CDS,Cytoplasmic,priA,Phosphoribosyl isomerase A,,,Metabolism,Amino acid metabolism,"Histidine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis",HisA/HisF family,Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate; Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate,3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Histidine biosynthesis;Isomerase;Reference proteome;Tryptophan biosynthesis
g1659,885567,Rv1604,O53907,CDS,Cytoplasmic,impA,Probable inositol 1-monophosphatase ImpA,,,Metabolism,Carbohydrate metabolism; Biosynthesis of other secondary metabolites,Inositol phosphate metabolism; Streptomycin biosynthesis,inositol monophosphatase superfamily,Polyol metabolism; myo-inositol biosynthesis; myo-inositol from D-glucose 6-phosphate,Hydrolase;Magnesium;Metal-binding;Reference proteome
g1660,885261,Rv1605,P9WMM3,CDS,Cytoplasmic,hisF,Imidazole glycerol phosphate synthase subunit HisF,,,Metabolism,Amino acid metabolism,Histidine metabolism,HisA/HisF family,Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate,Amino-acid biosynthesis;Cytoplasm;Histidine biosynthesis;Lyase;Reference proteome
g1661,886011,Rv1606,P9WMM7,CDS,Cytoplasmic,hisI,Phosphoribosyl-AMP cyclohydrolase,,,Metabolism,Amino acid metabolism,Histidine metabolism,PRA-CH family,Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate,Amino-acid biosynthesis;Cytoplasm;Histidine biosynthesis;Hydrolase;Magnesium;Metal-binding;Reference proteome;Zinc
g1662,885524,Rv1607,O53910,CDS,Plasma Membrane,chaA,ionic transporter integral membrane protein ChaA,signaling and cellular processes,Transporters,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1663,885530,Rv1608c,P9WID9,CDS,Cytoplasmic,bcpB,Putative peroxiredoxin Rv1608c,,,,,,peroxiredoxin family. BCP/PrxQ subfamily,,3D-structure;Antioxidant;Disulfide bond;Oxidoreductase;Peroxidase;Redox-active center;Reference proteome
g1664,885040,Rv1609,P9WFX3,CDS,Cytoplasmic,trpE,Anthranilate synthase component 1,,,Metabolism; Cellular Processes,Amino acid metabolism; Biosynthesis of other secondary metabolites; Cellular community - prokaryotes,"Phenylalanine, tyrosine and tryptophan biosynthesis; Phenazine biosynthesis; Quorum sensing",anthranilate synthase component I family,Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate,Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Lyase;Magnesium;Metal-binding;Reference proteome;Tryptophan biosynthesis
g1665,885293,Rv1610,O06128,CDS,Plasma Membrane,,membrane protein,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1666,885294,Rv1611,P9WFX7,CDS,Cytoplasmic,trpC,Indole-3-glycerol phosphate synthase,,,Metabolism,Amino acid metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",TrpC family,Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate,3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Decarboxylase;Lyase;Reference proteome;Tryptophan biosynthesis
g1667,885297,Rv1612,P9WFX9,CDS,Cytoplasmic,trpB,Tryptophan synthase beta chain,,,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis",TrpB family,Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate,3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome;Tryptophan biosynthesis
g1668,885291,Rv1613,P9WFY1,CDS,Cytoplasmic,trpA,Tryptophan synthase alpha chain,,,Metabolism,Amino acid metabolism,"Glycine, serine and threonine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis",TrpA family,Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate,3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Lyase;Reference proteome;Tryptophan biosynthesis
g1669,885292,Rv1614,P9WK93,CDS,Plasma Membrane,lgt,Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,,,,,,Lgt family,Protein modification; lipoprotein biosynthesis (diacylglyceryl transfer),Cell membrane;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
g1670,885499,Rv1615,O06132,CDS,Plasma Membrane,,membrane protein,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1671,885498,Rv1616,O06133,CDS,Plasma Membrane,,hypothetical protein,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1672,885501,Rv1617,P9WKE5,CDS,Cytoplasmic,pyk,Pyruvate kinase,genetic information processing; signaling and cellular processes,Membrane trafficking; Exosome,Metabolism,Carbohydrate metabolism,Glycolysis / Gluconeogenesis; Pyruvate metabolism,pyruvate kinase family,Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate,3D-structure;ATP-binding;Glycolysis;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Phosphoprotein;Potassium;Pyruvate;Reference proteome;Transferase
g1673,885500,Rv1618,O06135,CDS,Cytoplasmic,tesB1,acyl-CoA thioesterase II,metabolism,Lipid biosynthesis proteins,Metabolism,Lipid metabolism,Biosynthesis of unsaturated fatty acids,C/M/P thioester hydrolase family,,Hydrolase;Reference proteome
g1674,885509,Rv1619,O06136,CDS,Plasma Membrane,LysX2,MprF-like domain protein Rv1619,,,,,,LPG synthetase family,,Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1675,885503,Rv1620c,O06137,CDS,Plasma Membrane,cydC,cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydC,signaling and cellular processes,Transporters,Environmental Information Processing,Membrane transport,ABC transporters,ABC transporter superfamily. Siderophore-Fe(3+) uptake transporter (SIUT) (TC 3.A.1.21) family,,ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
g1676,885512,Rv1621c,O06138,CDS,Plasma Membrane,cydD,cytochrome biosyntheisis ABC transporter ATP-binding protein/permease CydD,signaling and cellular processes,Transporters,Environmental Information Processing,Membrane transport,ABC transporters,,,ATP-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix
g1677,885510,Rv1622c,O06139,CDS,Plasma Membrane,cydB,cytochrome D ubiquinol oxidase subunit II CydB,,,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Oxidative phosphorylation; Two-component system,cytochrome ubiquinol oxidase subunit 2 family,,3D-structure;Cell membrane;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport
g1678,885446,Rv1623c,L7N662,CDS,Plasma Membrane,cydA,cytochrome D ubiquinol oxidase subunit I CydA,,,Metabolism; Environmental Information Processing,Energy metabolism; Signal transduction,Oxidative phosphorylation; Two-component system,cytochrome ubiquinol oxidase subunit 1 family,,3D-structure;Cell membrane;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport
g1679,885135,Rv1624c,O06141,CDS,Plasma Membrane,,membrane protein,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1680,888538,Rv1625c,P9WQ35,CDS,Plasma Membrane,cya,Adenylate cyclase,,,Metabolism,Nucleotide metabolism,Purine metabolism,adenylyl cyclase class-4/guanylyl cyclase family,,3D-structure;ATP-binding;cAMP biosynthesis;Cell membrane;Lyase;Magnesium;Manganese;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix
g1681,885080,Rv1626,P9WGM3,CDS,Cytoplasmic,pdtaR,Transcriptional regulatory protein PdtaR,signaling and cellular processes,Two-component system,,,,,,3D-structure;Acetylation;Cytoplasm;Phosphoprotein;Reference proteome;Stress response;Transcription;Transcription antitermination;Transcription regulation;Two-component regulatory system
g1682,885064,Rv1627c,O06144,CDS,Cytoplasmic,,nonspecific lipid-transfer protein,,,,,,,,Reference proteome
g1683,885289,Rv1628c,O06145,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g1684,885074,Rv1629,P9WNU5,CDS,Cytoplasmic,polA,DNA polymerase I,genetic information processing,DNA replication proteins; DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,DNA replication; Base excision repair; Nucleotide excision repair; Homologous recombination,DNA polymerase type-A family,,DNA damage;DNA repair;DNA replication;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Nuclease;Nucleotidyltransferase;Reference proteome;Transferase
g1685,885188,Rv1630,P9WH43,CDS,Cytoplasmic,rpsA,Small ribosomal subunit protein bS1,genetic information processing,Ribosome,Genetic Information Processing,Translation,Ribosome,bacterial ribosomal protein bS1 family,,3D-structure;Reference proteome;Repeat;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
g1686,885165,Rv1631,P9WPA3,CDS,Cytoplasmic,coaE,Dephospho-CoA kinase,,,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis,In the N-terminal section; belongs to the CoaE family; In the C-terminal section; belongs to the UPF0157 (GrpB) family,Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate,ATP-binding;Coenzyme A biosynthesis;Cytoplasm;Kinase;Nucleotide-binding;Reference proteome;Transferase
g1687,885649,Rv1632c,O06149,CDS,Cytoplasmic,,DUF402 domain-containing protein,,,,,,,,Reference proteome
g1688,885249,Rv1633,P9WFC7,CDS,Cytoplasmic,uvrB,UvrABC system protein B,genetic information processing,DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,Nucleotide excision repair,UvrB family,,3D-structure;ATP-binding;Cytoplasm;DNA damage;DNA excision;DNA repair;Excision nuclease;Nucleotide-binding;Reference proteome;SOS response
g1689,885115,Rv1634,P9WJX3,CDS,Plasma Membrane,,Probable multidrug-efflux transporter Rv1634,,,,,,major facilitator superfamily,,Antibiotic resistance;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
g1690,885100,Rv1635c,O06152,CDS,Plasma Membrane,,mannosyltransferase,metabolism,Glycosyltransferases,Metabolism,Glycan biosynthesis and metabolism,Lipoarabinomannan (LAM) biosynthesis,,,Cell membrane;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
g1691,885473,Rv1636,P9WFC9,CDS,Cytoplasmic,TB15.3,Universal stress protein Rv1636,,,,,,universal stress protein A family,,3D-structure;Reference proteome
g1692,885132,Rv1637c,O06154,CDS,Cytoplasmic,,hypothetical protein,,,,,,,,Reference proteome
g1693,885685,Rv1638,P9WQK7,CDS,Cytoplasmic,uvrA,UvrABC system protein A,genetic information processing,DNA repair and recombination proteins,Genetic Information Processing,Replication and repair,Nucleotide excision repair,ABC transporter superfamily. UvrA family,,3D-structure;ATP-binding;Cytoplasm;DNA damage;DNA excision;DNA repair;DNA-binding;Excision nuclease;Metal-binding;Nucleotide-binding;Reference proteome;Repeat;SOS response;Zinc;Zinc-finger
g1694,3205103,Rv1638A,L7N673,CDS,Cytoplasmic,,Phage shock protein A (IM30),,,,,,,,Reference proteome
g1695,885642,Rv1639c,P94973,CDS,Plasma Membrane,,hypothetical protein,,,,,,,,Membrane;Reference proteome;Secreted;Transmembrane;Transmembrane helix
g1696,885428,Rv1640c,P9WFU7,CDS,Plasma Membrane,lysX,Lysylphosphatidylglycerol biosynthesis bifunctional protein LysX,metabolism; genetic information processing,Amino acid related enzymes; Transfer RNA biogenesis,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis,In the N-terminal section; belongs to the LPG synthetase family; In the C-terminal section; belongs to the class-II aminoacyl-tRNA synthetase family,,Aminoacyl-tRNA synthetase;Antibiotic resistance;ATP-binding;Cell membrane;DNA-binding;Ligase;Lipid metabolism;Magnesium;Membrane;Metal-binding;Multifunctional enzyme;Nucleotide-binding;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Virulence
g1697,885478,Rv1641,P9WKJ9,CDS,Cytoplasmic,infC,Translation initiation factor IF-3,genetic information processing,Translation factors; Mitochondrial biogenesis,,,,IF-3 family,,Cytoplasm;Initiation factor;Protein biosynthesis;Reference proteome
g1698,885145,Rv1642,P9WH91,CDS,Cytoplasmic,rpmI,Large ribosomal subunit protein bL35,genetic information processing,Ribosome,Genetic Information Processing,Translation,Ribosome,bacterial ribosomal protein bL35 family,,3D-structure;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
g1699,885455,Rv1643,P9WHC5,CDS,Extracellular,rplT,Large ribosomal subunit protein bL20,genetic information processing,Ribosome,Genetic Information Processing,Translation,Ribosome,bacterial ribosomal protein bL20 family,,3D-structure;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
g1700,885163,Rv1644,P94978,CDS,Cytoplasmic,tsnR,23S rRNA methyltransferase TsnR,genetic information processing,Transfer RNA biogenesis,,,,class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family,,Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase
g1701,885287,Rv1645c,P94979,CDS,Cytoplasmic,,ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase catalytic domain-containing protein,,,,,,,,Reference proteome
g1702,885486,Rv1646,L7N681,CDS,Extracellular,PE17,PE family protein PE17,,,,,,,,Reference proteome
g1703,885432,Rv1647,P94982,CDS,Cytoplasmic,,adenylate cyclase,,,,,,adenylyl cyclase class-3 family,,Reference proteome
g1704,885065,Rv1648,P94983,CDS,Plasma Membrane,,transmembrane protein,,,,,,,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
g1705,885105,Rv1649,P9WFU3,CDS,Cytoplasmic,pheS,Phenylalanine--tRNA ligase alpha subunit,metabolism; genetic information processing,Amino acid related enzymes; Transfer RNA biogenesis,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis,class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily,,3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome
g1706,885283,Rv1650,P9WFU1,CDS,Cytoplasmic,pheT,Phenylalanine--tRNA ligase beta subunit,metabolism; genetic information processing,Amino acid related enzymes; Transfer RNA biogenesis,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis,phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily,,3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Magnesium;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;RNA-binding;tRNA-binding
g1707,885174,Rv1651c,Q79FL8,CDS,Extracellular,PE_PGRS30,PE-PGRS family protein PE_PGRS30,,,,,,mycobacterial PE family. PGRS subfamily,,Cell wall;Reference proteome;Secreted;Virulence
g1708,885278,Rv1652,P9WPZ9,CDS,Cytoplasmic,argC,N-acetyl-gamma-glutamyl-phosphate reductase,,,Metabolism,Amino acid metabolism,Arginine biosynthesis,NAGSA dehydrogenase family. Type 1 subfamily,Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate,3D-structure;Amino-acid biosynthesis;Arginine biosynthesis;Cytoplasm;NADP;Oxidoreductase;Reference proteome
g1709,885125,Rv1653,P9WPZ3,CDS,Cytoplasmic,argJ,Arginine biosynthesis bifunctional protein ArgJ,,,Metabolism,Amino acid metabolism,Arginine biosynthesis,ArgJ family,Amino-acid biosynthesis; L-arginine biosynthesis; L-ornithine and N-acetyl-L-glutamate from L-glutamate and N(2)-acetyl-L-ornithine (cyclic); Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate,3D-structure;Acyltransferase;Amino-acid biosynthesis;Arginine biosynthesis;Autocatalytic cleavage;Cytoplasm;Multifunctional enzyme;Reference proteome;Transferase
g1710,888076,Rv1654,P9WQ01,CDS,Cytoplasmic,argB,Acetylglutamate kinase,,,Metabolism,Amino acid metabolism,Arginine biosynthesis,acetylglutamate kinase family. ArgB subfamily,Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate,3D-structure;Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Reference proteome;Transferase
g1711,885187,Rv1655,P9WPZ7,CDS,Cytoplasmic,argD,Acetylornithine aminotransferase,metabolism,Amino acid related enzymes,Metabolism,Amino acid metabolism,Lysine biosynthesis; Arginine biosynthesis,class-III pyridoxal-phosphate-dependent aminotransferase family. ArgD subfamily,Amino-acid biosynthesis; L-arginine biosynthesis; N(2)-acetyl-L-ornithine from L-glutamate,3D-structure;Acetylation;Amino-acid biosynthesis;Aminotransferase;Arginine biosynthesis;Cytoplasm;Isopeptide bond;Pyridoxal phosphate;Reference proteome;Transferase;Ubl conjugation
g1712,885462,Rv1656,P9WIT9,CDS,Cytoplasmic,argF,Ornithine carbamoyltransferase,,,Metabolism,Amino acid metabolism,Arginine biosynthesis,aspartate/ornithine carbamoyltransferase superfamily. OTCase family,Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate,3D-structure;Amino-acid biosynthesis;Arginine biosynthesis;Cytoplasm;Reference proteome;Transferase
